unicode dec,unicode hex,character,name
4096,1000,က,uni1000
4097,1001,ခ,uni1001
4098,1002,ဂ,uni1002
4099,1003,ဃ,uni1003
4100,1004,င,uni1004
4101,1005,စ,uni1005
4102,1006,ဆ,uni1006
4103,1007,ဇ,uni1007
4104,1008,ဈ,uni1008
4105,1009,ဉ,uni1009
4106,100A,ည,uni100A
4107,100B,ဋ,uni100B
4108,100C,ဌ,uni100C
4109,100D,ဍ,uni100D
4110,100E,ဎ,uni100E
4111,100F,ဏ,uni100F
4112,1010,တ,uni1010
4113,1011,ထ,uni1011
4114,1012,ဒ,uni1012
4115,1013,ဓ,uni1013
4116,1014,န,uni1014
4117,1015,ပ,uni1015
4118,1016,ဖ,uni1016
4119,1017,ဗ,uni1017
4120,1018,ဘ,uni1018
4121,1019,မ,uni1019
4122,101A,ယ,uni101A
4123,101B,ရ,uni101B
4124,101C,လ,uni101C
4125,101D,ဝ,uni101D
4126,101E,သ,uni101E
4127,101F,ဟ,uni101F
4128,1020,ဠ,uni1020
4129,1021,အ,uni1021
4130,1022,ဢ,uni1022
4131,1023,ဣ,uni1023
4132,1024,ဤ,uni1024
4133,1025,ဥ,uni1025
4134,1026,ဦ,uni1026
4135,1027,ဧ,uni1027
4136,1028,ဨ,uni1028
4137,1029,ဩ,uni1029
4138,102A,ဪ,uni102A
4139,102B,ါ,uni102B
4140,102C,ာ,uni102C
4141,102D,ိ,uni102D
4142,102E,ီ,uni102E
4143,102F,ု,uni102F
4144,1030,ူ,uni1030
4145,1031,ေ,uni1031
4146,1032,ဲ,uni1032
4147,1033,ဳ,uni1033
4148,1034,ဴ,uni1034
4149,1035,ဵ,uni1035
4150,1036,ံ,uni1036
4151,1037,့,uni1037
4152,1038,း,uni1038
4153,1039,္,uni1039
4154,103A,်,uni103A
4155,103B,ျ,uni103B
4156,103C,ြ,uni103C
4157,103D,ွ,uni103D
4158,103E,ှ,uni103E
4159,103F,ဿ,uni103F
4160,1040,၀,uni1040
4161,1041,၁,uni1041
4162,1042,၂,uni1042
4163,1043,၃,uni1043
4164,1044,၄,uni1044
4165,1045,၅,uni1045
4166,1046,၆,uni1046
4167,1047,၇,uni1047
4168,1048,၈,uni1048
4169,1049,၉,uni1049
4170,104A,၊,uni104A
4171,104B,။,uni104B
4172,104C,၌,uni104C
4173,104D,၍,uni104D
4174,104E,၎,uni104E
4175,104F,၏,uni104F
,,,uni103C_uni1000
